dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,criterion,n_estimators
PC,IN,rfc,minmax,1,1000,38,1247,63,0.956984667802385,0.9633911368015414,0.940733772342427,0.9519276534983341,0.9555808939533148,0.9132283173664891,1.5504297241485658,0.5894510746002197,0.021937847137451172,entropy,100
PC,IN,rfc,minmax,1,999,35,1250,64,0.9578364565587735,0.9661508704061895,0.9397930385700847,0.9527896995708155,0.9562778422422409,0.9149968919250276,1.5197281454525549,2.9421253204345703,0.10471034049987793,entropy,500
PC,IN,rfc,minmax,1,1000,36,1249,63,0.9578364565587735,0.9652509652509652,0.940733772342427,0.9528346831824679,0.9563591040700462,0.9149726560689385,1.5197281454525546,5.858337879180908,0.20844316482543945,entropy,1000
PC,IN,rfc,minmax,1,1000,37,1248,63,0.9574105621805792,0.9643201542912246,0.940733772342427,0.9523809523809523,0.9559699990116806,0.914100057997967,1.5350789348005605,8.7796049118042,0.317152738571167,entropy,1500
PC,IN,rfc,minmax,1,1000,36,1249,63,0.9578364565587735,0.9652509652509652,0.940733772342427,0.9528346831824679,0.9563591040700462,0.9149726560689385,1.5197281454525549,11.887306690216064,0.41489243507385254,entropy,2000
PC,IN,rfc,minmax,1,999,35,1250,64,0.9578364565587735,0.9661508704061895,0.9397930385700847,0.9527896995708155,0.9562778422422409,0.9149968919250276,1.5197281454525549,0.5923843383789062,0.021938085556030273,log_loss,100
PC,IN,rfc,minmax,1,999,37,1248,64,0.956984667802385,0.9642857142857143,0.9397930385700847,0.9518818484992854,0.9554996321255094,0.9132494663245108,1.5504297241485658,2.9291882514953613,0.10369443893432617,log_loss,500
PC,IN,rfc,minmax,1,997,34,1251,66,0.9574105621805792,0.9670223084384093,0.9379115710253998,0.9522445081184336,0.9557262135282641,0.9141763498470903,1.5350789348005605,5.843402862548828,0.2074451446533203,log_loss,1000
PC,IN,rfc,minmax,1,1001,37,1248,62,0.9578364565587735,0.964354527938343,0.9416745061147695,0.9528795811518325,0.9564403658978518,0.9149511598477053,1.5197281454525546,8.763580083847046,0.3111684322357178,log_loss,1500
PC,IN,rfc,minmax,1,1002,34,1251,61,0.9595400340715503,0.9671814671814671,0.9426152398871119,0.9547403525488328,0.9580780479591202,0.918419035557794,1.4583249880605325,11.685786247253418,0.41193246841430664,log_loss,2000
PC,IN,rfc,minmax,2,990,30,1255,73,0.9561328790459966,0.9705882352941176,0.9313264346190028,0.9505520883341335,0.9539900655585286,0.9117912451491942,1.5811313028445773,0.4967038631439209,0.02290964126586914,gini,100
PC,IN,rfc,minmax,2,991,33,1252,72,0.9552810902896082,0.9677734375,0.9322671683913453,0.9496885481552467,0.9532931172696026,0.9099831397290155,1.6118328815405882,2.3985939025878906,0.10570907592773438,gini,500
PC,IN,rfc,minmax,2,992,33,1252,71,0.9557069846678024,0.9678048780487805,0.9332079021636877,0.9501915708812261,0.9537634841557738,0.9108269679553728,1.5964820921925829,4.77625298500061,0.21445536613464355,gini,1000
PC,IN,rfc,minmax,2,993,35,1250,70,0.9552810902896082,0.9659533073929961,0.9341486359360301,0.9497847919655668,0.9534556409252135,0.9099121782443144,1.6118328815405885,7.169833183288574,0.3201730251312256,gini,1500
PC,IN,rfc,minmax,2,994,32,1253,69,0.956984667802385,0.9688109161793372,0.9350893697083725,0.951651507898516,0.9550933229864819,0.9133962988723389,1.5504297241485658,9.579402446746826,0.42586541175842285,gini,2000
PC,IN,rfc,minmax,2,1000,31,1254,63,0.9599659284497445,0.9699321047526673,0.940733772342427,0.9551098376313276,0.9583046293618751,0.9193485929728682,1.4429741987125266,0.5894269943237305,0.020943403244018555,entropy,100
PC,IN,rfc,minmax,2,994,32,1253,69,0.956984667802385,0.9688109161793372,0.9350893697083725,0.951651507898516,0.9550933229864819,0.9133962988723389,1.5504297241485658,2.9201881885528564,0.10471796989440918,entropy,500
PC,IN,rfc,minmax,2,991,34,1251,72,0.954855195911414,0.9668292682926829,0.9322671683913453,0.9492337164750958,0.9529040122112368,0.9091017735476699,1.6271836708885938,5.815474987030029,0.20946812629699707,entropy,1000
PC,IN,rfc,minmax,2,995,35,1250,68,0.9561328790459966,0.9660194174757282,0.9360301034807149,0.9507883420926899,0.9543963746975559,0.9116050703676606,1.5811313028445768,8.696787118911743,0.31116771697998047,entropy,1500
PC,IN,rfc,minmax,2,993,33,1252,70,0.9561328790459966,0.9678362573099415,0.9341486359360301,0.9506941120153183,0.954233851041945,0.9116712933548485,1.581131302844577,11.622976541519165,0.4138953685760498,entropy,2000
PC,IN,rfc,minmax,2,997,35,1250,66,0.956984667802385,0.9660852713178295,0.9379115710253998,0.9517899761336516,0.9553371084698984,0.9132999708587122,1.5504297241485658,0.5834431648254395,0.021938085556030273,log_loss,100
PC,IN,rfc,minmax,2,992,33,1252,71,0.9557069846678024,0.9678048780487805,0.9332079021636877,0.9501915708812261,0.9537634841557738,0.9108269679553728,1.5964820921925829,2.8793108463287354,0.10375809669494629,log_loss,500
PC,IN,rfc,minmax,2,996,35,1250,67,0.9565587734241908,0.9660523763336566,0.9369708372530574,0.9512893982808023,0.9548667415837272,0.9124522688051643,1.5657805134965714,5.8085267543792725,0.20647668838500977,log_loss,1000
PC,IN,rfc,minmax,2,992,34,1251,71,0.9552810902896082,0.9668615984405458,0.9332079021636877,0.9497367161321206,0.953374379097408,0.9099462878373582,1.6118328815405882,8.720746994018555,0.3081493377685547,log_loss,1500
PC,IN,rfc,minmax,2,995,36,1249,68,0.9557069846678024,0.965082444228904,0.9360301034807149,0.9503342884431709,0.9540072696391901,0.9107281877632384,1.5964820921925829,11.589107751846313,0.41585659980773926,log_loss,2000
PC,IN,rfc,minmax,3,1010,30,1255,53,0.9646507666098807,0.9711538461538461,0.9501411100658513,0.9605325725154541,0.963397403281953,0.9287124037059981,1.2741155158844653,0.48869752883911133,0.021940231323242188,gini,100
PC,IN,rfc,minmax,3,1007,32,1253,56,0.9625212947189097,0.9692011549566891,0.9473189087488241,0.9581351094196003,0.9612080925067077,0.9244161275593961,1.3508694626244933,2.428514003753662,0.10771679878234863,gini,500
PC,IN,rfc,minmax,3,1006,31,1254,57,0.9625212947189097,0.970106075216972,0.9463781749764817,0.9580952380952381,0.9611268306789023,0.9244381507152742,1.3508694626244933,4.8271191120147705,0.2154254913330078,gini,1000
PC,IN,rfc,minmax,3,1004,32,1253,59,0.9612436115843271,0.9691119691119691,0.9444967074317968,0.9566460219151978,0.959796991848194,0.9218654150466494,1.39692183066851,7.212920904159546,0.3221399784088135,gini,1500
PC,IN,rfc,minmax,3,1006,30,1255,57,0.962947189097104,0.971042471042471,0.9463781749764817,0.9585516912815627,0.961515935737268,0.9253117945355048,1.3355186732764877,9.631325483322144,0.43184757232666016,gini,2000
PC,IN,rfc,minmax,3,1007,32,1253,56,0.9625212947189097,0.9692011549566891,0.9473189087488241,0.9581351094196003,0.9612080925067077,0.9244161275593961,1.3508694626244933,0.5953834056854248,0.021966934204101562,entropy,100
PC,IN,rfc,minmax,3,1006,30,1255,57,0.962947189097104,0.971042471042471,0.9463781749764817,0.9585516912815627,0.961515935737268,0.9253117945355048,1.3355186732764877,2.9112329483032227,0.10674738883972168,entropy,500
PC,IN,rfc,minmax,3,1007,33,1252,56,0.9620954003407155,0.9682692307692308,0.9473189087488241,0.9576795054683785,0.960818987448342,0.9235449022275113,1.3662202519724989,5.853347539901733,0.218414306640625,entropy,1000
PC,IN,rfc,minmax,3,1007,35,1250,56,0.9612436115843271,0.9664107485604606,0.9473189087488241,0.956769596199525,0.9600407773316104,0.9218050274755833,1.3969218306685098,8.754632234573364,0.3151857852935791,entropy,1500
PC,IN,rfc,minmax,3,1007,33,1252,56,0.9620954003407155,0.9682692307692308,0.9473189087488241,0.9576795054683785,0.960818987448342,0.9235449022275113,1.3662202519724989,11.717697620391846,0.42087364196777344,entropy,2000
PC,IN,rfc,minmax,3,1008,30,1255,55,0.9637989778534923,0.9710982658959537,0.9482596425211665,0.9595430747263208,0.9624566695096104,0.9270110572162183,1.3048170945804765,0.59238600730896,0.021912097930908203,log_loss,100
PC,IN,rfc,minmax,3,1010,32,1253,53,0.9637989778534923,0.9692898272552783,0.9501411100658513,0.9596199524940617,0.9626191931652214,0.9269715187856176,1.3048170945804762,2.9142508506774902,0.10571455955505371,log_loss,500
PC,IN,rfc,minmax,3,1004,32,1253,59,0.9612436115843271,0.9691119691119691,0.9444967074317968,0.9566460219151978,0.959796991848194,0.9218654150466494,1.3969218306685098,5.8773510456085205,0.21242570877075195,log_loss,1000
PC,IN,rfc,minmax,3,1007,33,1252,56,0.9620954003407155,0.9682692307692308,0.9473189087488241,0.9576795054683785,0.960818987448342,0.9235449022275113,1.3662202519724989,8.779575824737549,0.3171811103820801,log_loss,1500
PC,IN,rfc,minmax,3,1006,32,1253,57,0.9620954003407155,0.9691714836223507,0.9463781749764817,0.9576392194193242,0.9607377256205366,0.923565372253786,1.3662202519724989,11.69678544998169,0.42087507247924805,log_loss,2000
PC,IN,rfc,minmax,4,995,38,1247,68,0.954855195911414,0.9632139399806389,0.9360301034807149,0.9494274809160306,0.9532290595224585,0.9089770164049806,1.6271836708885943,0.4907186031341553,0.022966861724853516,gini,100
PC,IN,rfc,minmax,4,998,40,1245,65,0.9552810902896082,0.9614643545279383,0.9388523047977423,0.9500237981913374,0.9538619500642409,0.9097826324040568,1.6118328815405882,2.39658260345459,0.10571813583374023,gini,500
PC,IN,rfc,minmax,4,996,36,1249,67,0.9561328790459966,0.9651162790697675,0.9369708372530574,0.9508353221957041,0.9544776365253613,0.9115760707256059,1.5811313028445773,4.7772533893585205,0.2204115390777588,gini,1000
PC,IN,rfc,minmax,4,997,37,1248,66,0.9561328790459966,0.9642166344294004,0.9379115710253998,0.9508822126847878,0.9545588983531668,0.911549807341286,1.5811313028445773,7.137986660003662,0.319141149520874,gini,1500
PC,IN,rfc,minmax,4,998,36,1249,65,0.956984667802385,0.965183752417795,0.9388523047977423,0.9518359561278016,0.9554183702977038,0.9132733496331569,1.550429724148566,9.641271829605103,0.42287373542785645,gini,2000
PC,IN,rfc,minmax,4,996,40,1245,67,0.9544293015332198,0.9613899613899614,0.9369708372530574,0.949023344449738,0.9529212162918983,0.9080798970912276,1.6425344602365997,0.584434986114502,0.02190852165222168,entropy,100
PC,IN,rfc,minmax,4,996,42,1243,67,0.9535775127768313,0.9595375722543352,0.9369708372530574,0.9481199428843408,0.9521430061751668,0.9063369474416244,1.6732360389326106,2.8713085651397705,0.10372114181518555,entropy,500
PC,IN,rfc,minmax,4,998,38,1247,65,0.9561328790459966,0.9633204633204633,0.9388523047977423,0.950929013816103,0.9546401601809724,0.9115262765800831,1.5811313028445773,5.779574632644653,0.20847082138061523,entropy,1000
PC,IN,rfc,minmax,4,1000,39,1246,63,0.9565587734241908,0.9624639076034649,0.940733772342427,0.9514747859181731,0.9551917888949489,0.9123574317616358,1.5657805134965717,8.671824932098389,0.306154727935791,entropy,1500
PC,IN,rfc,minmax,4,998,40,1245,65,0.9552810902896082,0.9614643545279383,0.9388523047977423,0.9500237981913374,0.9538619500642409,0.9097826324040568,1.6118328815405882,11.568157196044922,0.40990424156188965,entropy,2000
PC,IN,rfc,minmax,4,996,42,1243,67,0.9535775127768313,0.9595375722543352,0.9369708372530574,0.9481199428843408,0.9521430061751668,0.9063369474416244,1.6732360389326106,0.5744624137878418,0.02094554901123047,log_loss,100
PC,IN,rfc,minmax,4,1000,40,1245,63,0.9561328790459966,0.9615384615384616,0.940733772342427,0.9510223490252021,0.9548026838365832,0.911487398777709,1.5811313028445773,2.891279697418213,0.10471582412719727,log_loss,500
PC,IN,rfc,minmax,4,998,41,1244,65,0.954855195911414,0.960538979788258,0.9388523047977423,0.9495718363463368,0.9534728450058751,0.9089120901051327,1.627183670888594,5.896265029907227,0.20744895935058594,log_loss,1000
PC,IN,rfc,minmax,4,997,41,1244,66,0.9544293015332198,0.9605009633911368,0.9379115710253998,0.9490718705378391,0.9530024781197038,0.9080597899228406,1.6425344602365997,8.78160047531128,0.30820465087890625,log_loss,1500
PC,IN,rfc,minmax,4,999,41,1244,64,0.9552810902896082,0.9605769230769231,0.9397930385700847,0.9500713266761769,0.9539432118920463,0.90976489828488,1.6118328815405885,11.565166711807251,0.4109017848968506,log_loss,2000
PC,PR,rfc,std,1,1911,28,122,8,0.9826002899951668,0.9855595667870036,0.9958311620635748,0.9906687402799378,0.9045822476984541,0.8646878461991528,0.6271491164853639,0.48174118995666504,0.015957117080688477,gini,100
PC,PR,rfc,std,1,1912,27,123,7,0.9835669405509908,0.9860752965446106,0.9963522668056279,0.991187143597719,0.908176133402814,0.872368829007635,0.5923074989028437,2.346709728240967,0.07081031799316406,gini,500
PC,PR,rfc,std,1,1911,29,121,8,0.9821169647172547,0.9850515463917526,0.9958311620635748,0.9904120238403732,0.9012489143651207,0.8606592937734834,0.644569925276624,4.775291681289673,0.14464402198791504,gini,1000
PC,PR,rfc,std,1,1911,29,121,8,0.9821169647172547,0.9850515463917526,0.9958311620635748,0.9904120238403732,0.9012489143651207,0.8606592937734834,0.644569925276624,7.050177574157715,0.21240472793579102,gini,1500
