dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time
ECFP4,RT,cnn,minmax,2,2331,150,787,70,0.9340922708208508,0.939540507859734,0.9708454810495627,0.9549365014338386,0.9053800510904163,0.8339777250973724,2.375555346197056,333.0132644176483,0.9330317974090576
ECFP4,RT,cnn,minmax,3,2325,122,815,76,0.9406830437387658,0.9501430322844299,0.9683465222823824,0.9591584158415841,0.9190718737345744,0.8513900067595046,2.137999811577351,322.8581511974335,0.9431421756744385
ECFP4,RT,cnn,minmax,4,2310,127,810,91,0.9346914319952067,0.9478867459991793,0.9620991253644315,0.954940057875155,0.9132800856277867,0.8366622802469555,2.3539593885043555,330.60613465309143,0.9204597473144531
MIX,IN,cnn,std,1,997,50,1235,66,0.9505962521294719,0.9522445081184336,0.9379115710253998,0.9450236966824644,0.9495005325944119,0.900256805866838,1.78069156436865,238.32745337486267,1.0889768600463867
MIX,IN,cnn,std,2,989,52,1233,74,0.9463373083475298,0.9500480307396734,0.9303857008466604,0.9401140684410646,0.9449593873883108,0.8916725698043892,1.934199457848706,237.70851755142212,0.8759348392486572
MIX,IN,cnn,std,3,997,55,1230,66,0.9484667802385008,0.9477186311787072,0.9379115710253998,0.9427895981087471,0.9475550073025832,0.895950964895191,1.8574455111086778,246.615807056427,0.8528695106506348
MIX,IN,cnn,std,4,1003,53,1232,60,0.9518739352640545,0.9498106060606061,0.9435559736594544,0.9466729589428976,0.951155418736342,0.9028407519195132,1.734639196324633,246.0726990699768,0.8616714477539062
MIX,IN,cnn,minmax,1,1002,53,1232,61,0.9514480408858603,0.9497630331753555,0.9426152398871119,0.9461756373937678,0.9506850518501707,0.9019778098283355,1.7499899856726386,238.92609763145447,0.888218879699707
MIX,IN,cnn,minmax,2,992,46,1239,71,0.9501703577512777,0.9556840077071291,0.9332079021636877,0.9443122322703474,0.948705118397019,0.8994455775167598,1.7960423537166557,244.38997864723206,0.8376286029815674
MIX,IN,cnn,minmax,3,989,47,1238,74,0.9484667802385008,0.9546332046332047,0.9303857008466604,0.9423535016674607,0.9469049126801397,0.8960175688802335,1.8574455111086778,246.49027228355408,0.9028267860412598
MIX,IN,cnn,minmax,4,1007,42,1243,56,0.9582623509369677,0.9599618684461392,0.9473189087488241,0.9535984848484849,0.9573170419230501,0.915742262466425,1.504377356104549,243.93169283866882,0.8800718784332275
MIX,PR,cnn,std,1,1909,26,124,10,0.9826002899951668,0.98656330749354,0.9947889525794684,0.9906590555267255,0.9107278096230675,0.8655144796766399,0.6271491164853639,221.0498504638672,0.941864013671875
MIX,PR,cnn,std,2,1908,25,125,11,0.9826002899951668,0.9870667356440765,0.9942678478374153,0.9906542056074766,0.9138005905853742,0.8660018853809764,0.6271491164853639,223.512681722641,0.8346970081329346
MIX,PR,cnn,std,3,1903,24,126,16,0.9806669888835186,0.9875454073689673,0.9916623241271496,0.9895995839833593,0.9158311620635748,0.8529923081634453,0.6968323516504042,222.19732213020325,0.8220071792602539
MIX,PR,cnn,std,4,1911,26,124,8,0.9835669405509908,0.9865771812080537,0.9958311620635748,0.9911825726141079,0.9112489143651208,0.8727022608897309,0.5923074989028436,220.5285449028015,0.8404560089111328
MIX,PR,cnn,minmax,1,1912,27,123,7,0.9835669405509908,0.9860752965446106,0.9963522668056279,0.991187143597719,0.908176133402814,0.872368829007635,0.5923074989028437,219.82077431678772,0.795781135559082
MIX,PR,cnn,minmax,2,1910,22,128,9,0.9850169163847269,0.9886128364389234,0.9953100573215217,0.9919501428200468,0.9243216953274275,0.8850025162811637,0.5400450725290635,219.71964812278748,0.844980001449585
MIX,PR,cnn,minmax,3,1910,25,125,9,0.9835669405509908,0.9870801033591732,0.9953100573215217,0.9911779968863519,0.9143216953274275,0.8730877679774272,0.5923074989028437,216.6610381603241,0.8233621120452881
MIX,PR,cnn,minmax,4,1911,23,127,8,0.9850169163847269,0.9881075491209927,0.9958311620635748,0.9919543213080716,0.9212489143651208,0.8846200695373739,0.5400450725290635,222.54144716262817,0.7929739952087402
MIX,RT,cnn,std,1,2316,159,778,85,0.92690233672858,0.9357575757575758,0.9645980841316119,0.9499589827727646,0.8974537912653792,0.8158109226653391,2.6347068385094627,330.3260929584503,0.9976110458374023
MIX,RT,cnn,std,2,2284,136,801,117,0.9242061114439785,0.943801652892562,0.9512703040399834,0.9475212611491391,0.9030631135995008,0.8112223417128741,2.731888648126615,335.4741940498352,0.9393014907836914
MIX,RT,cnn,std,3,2316,146,791,85,0.9307968843618933,0.9406986190089358,0.9645980841316119,0.9524984577421345,0.9043908243496908,0.8260400163546648,2.4943331135069093,334.55500531196594,0.9599609375
MIX,RT,cnn,std,4,2313,159,778,88,0.9260035949670461,0.9356796116504854,0.9633486047480216,0.949312538477324,0.896829051573584,0.8136097623369627,2.667100775048513,327.53926372528076,0.9476523399353027
MIX,RT,cnn,minmax,1,2292,137,800,109,0.926303175554224,0.9435981885549609,0.9546022490628905,0.9490683229813665,0.9041954681813917,0.8160027306017971,2.6563027962021635,332.9705126285553,0.9629225730895996
MIX,RT,cnn,minmax,2,2296,137,800,105,0.9275014979029359,0.9436909165639129,0.956268221574344,0.9499379395945386,0.9050284544371185,0.8188155125331387,2.613110880816761,329.5953998565674,0.9289278984069824
MIX,RT,cnn,minmax,3,2292,99,838,109,0.9376872378669863,0.958594730238394,0.9546022490628905,0.9565943238731218,0.9244729495047643,0.8462157662999303,2.245979600040853,337.2324481010437,0.9573347568511963
MIX,RT,cnn,minmax,4,2294,136,801,107,0.927201917315758,0.9440329218106996,0.9554352353186173,0.9496998551024632,0.9051455792388178,0.8182027117281818,2.623908859663112,330.0690634250641,0.950904130935669
